location,date,new_cases,new_deaths,people_fully_vaccinated_per_hundred
Italy,2020-01-31,2.0,0.0,
Italy,2020-02-01,0.0,0.0,
Italy,2020-02-02,0.0,0.0,
Italy,2020-02-03,0.0,0.0,
Italy,2020-02-04,0.0,0.0,
Italy,2020-02-05,0.0,0.0,
Italy,2020-02-06,0.0,0.0,
Italy,2020-02-07,1.0,0.0,
Italy,2020-02-08,0.0,0.0,
Italy,2020-02-09,0.0,0.0,
Italy,2020-02-10,0.0,0.0,
Italy,2020-02-11,0.0,0.0,
Italy,2020-02-12,0.0,0.0,
Italy,2020-02-13,0.0,0.0,
Italy,2020-02-14,0.0,0.0,
Italy,2020-02-15,0.0,0.0,
Italy,2020-02-16,0.0,0.0,
Italy,2020-02-17,0.0,0.0,
Italy,2020-02-18,0.0,0.0,
Italy,2020-02-19,0.0,0.0,
Italy,2020-02-20,0.0,0.0,
Italy,2020-02-21,17.0,1.0,
Italy,2020-02-22,42.0,1.0,
Italy,2020-02-23,93.0,1.0,
Italy,2020-02-24,74.0,4.0,
Italy,2020-02-25,93.0,3.0,
Italy,2020-02-26,131.0,2.0,
Italy,2020-02-27,202.0,5.0,
Italy,2020-02-28,233.0,4.0,
Italy,2020-02-29,240.0,8.0,
Italy,2020-03-01,566.0,5.0,
Italy,2020-03-02,342.0,18.0,
Italy,2020-03-03,466.0,27.0,
Italy,2020-03-04,587.0,28.0,
Italy,2020-03-05,769.0,41.0,
Italy,2020-03-06,778.0,49.0,
Italy,2020-03-07,1247.0,36.0,
Italy,2020-03-08,1492.0,133.0,
Italy,2020-03-09,1797.0,97.0,
Italy,2020-03-10,977.0,168.0,
Italy,2020-03-11,2313.0,196.0,
Italy,2020-03-12,2651.0,189.0,
Italy,2020-03-13,2547.0,250.0,
Italy,2020-03-14,3497.0,175.0,
Italy,2020-03-15,3590.0,368.0,
Italy,2020-03-16,3233.0,349.0,
Italy,2020-03-17,3526.0,345.0,
Italy,2020-03-18,4207.0,475.0,
Italy,2020-03-19,5322.0,427.0,
Italy,2020-03-20,5986.0,627.0,
Italy,2020-03-21,6557.0,793.0,
Italy,2020-03-22,5560.0,651.0,
Italy,2020-03-23,4789.0,601.0,
Italy,2020-03-24,5249.0,743.0,
Italy,2020-03-25,5210.0,683.0,
Italy,2020-03-26,6203.0,712.0,
Italy,2020-03-27,5909.0,919.0,
Italy,2020-03-28,5974.0,889.0,
Italy,2020-03-29,5217.0,756.0,
Italy,2020-03-30,4050.0,812.0,
Italy,2020-03-31,4053.0,837.0,
Italy,2020-04-01,4782.0,727.0,
Italy,2020-04-02,4668.0,760.0,
Italy,2020-04-03,4585.0,766.0,
Italy,2020-04-04,4805.0,681.0,
Italy,2020-04-05,4316.0,525.0,
Italy,2020-04-06,3599.0,636.0,
Italy,2020-04-07,3039.0,604.0,
Italy,2020-04-08,3836.0,542.0,
Italy,2020-04-09,4204.0,610.0,
Italy,2020-04-10,3951.0,570.0,
Italy,2020-04-11,4694.0,619.0,
Italy,2020-04-12,4092.0,431.0,
Italy,2020-04-13,3153.0,566.0,
Italy,2020-04-14,2972.0,602.0,
Italy,2020-04-15,2667.0,578.0,
Italy,2020-04-16,3786.0,525.0,
Italy,2020-04-17,3493.0,575.0,
Italy,2020-04-18,3491.0,482.0,
Italy,2020-04-19,3047.0,433.0,
Italy,2020-04-20,2256.0,454.0,
Italy,2020-04-21,2729.0,534.0,
Italy,2020-04-22,3370.0,437.0,
Italy,2020-04-23,2646.0,464.0,
Italy,2020-04-24,3021.0,420.0,
Italy,2020-04-25,2357.0,415.0,
Italy,2020-04-26,2324.0,260.0,
Italy,2020-04-27,1739.0,333.0,
Italy,2020-04-28,2091.0,382.0,
Italy,2020-04-29,2086.0,323.0,
Italy,2020-04-30,1872.0,285.0,
Italy,2020-05-01,1965.0,269.0,
Italy,2020-05-02,1900.0,474.0,
Italy,2020-05-03,1389.0,174.0,
Italy,2020-05-04,1221.0,195.0,
Italy,2020-05-05,1075.0,236.0,
Italy,2020-05-06,1444.0,369.0,
Italy,2020-05-07,1401.0,274.0,
Italy,2020-05-08,1327.0,243.0,
Italy,2020-05-09,1083.0,194.0,
Italy,2020-05-10,802.0,165.0,
Italy,2020-05-11,744.0,179.0,
Italy,2020-05-12,1402.0,172.0,
Italy,2020-05-13,888.0,195.0,
Italy,2020-05-14,992.0,262.0,
Italy,2020-05-15,789.0,242.0,
Italy,2020-05-16,875.0,153.0,
Italy,2020-05-17,675.0,145.0,
Italy,2020-05-18,451.0,99.0,
Italy,2020-05-19,813.0,162.0,
Italy,2020-05-20,665.0,161.0,
Italy,2020-05-21,642.0,156.0,
Italy,2020-05-22,652.0,130.0,
Italy,2020-05-23,669.0,119.0,
Italy,2020-05-24,531.0,50.0,
Italy,2020-05-25,300.0,92.0,
Italy,2020-05-26,397.0,78.0,
Italy,2020-05-27,584.0,117.0,
Italy,2020-05-28,593.0,70.0,
Italy,2020-05-29,516.0,87.0,
Italy,2020-05-30,416.0,111.0,
Italy,2020-05-31,333.0,75.0,
Italy,2020-06-01,200.0,60.0,
Italy,2020-06-02,318.0,55.0,
Italy,2020-06-03,321.0,71.0,
Italy,2020-06-04,177.0,88.0,
Italy,2020-06-05,518.0,85.0,
Italy,2020-06-06,270.0,72.0,
Italy,2020-06-07,197.0,53.0,
Italy,2020-06-08,280.0,65.0,
Italy,2020-06-09,283.0,79.0,
Italy,2020-06-10,202.0,71.0,
Italy,2020-06-11,379.0,53.0,
Italy,2020-06-12,163.0,56.0,
Italy,2020-06-13,346.0,78.0,
Italy,2020-06-14,338.0,44.0,
Italy,2020-06-15,301.0,26.0,
Italy,2020-06-16,210.0,34.0,
Italy,2020-06-17,328.0,43.0,
Italy,2020-06-18,331.0,66.0,
Italy,2020-06-19,-148.0,47.0,
Italy,2020-06-20,264.0,49.0,
Italy,2020-06-21,224.0,24.0,
Italy,2020-06-22,221.0,23.0,
Italy,2020-06-23,113.0,18.0,
Italy,2020-06-24,577.0,-31.0,
Italy,2020-06-25,296.0,34.0,
Italy,2020-06-26,255.0,30.0,
Italy,2020-06-27,175.0,8.0,
Italy,2020-06-28,174.0,22.0,
Italy,2020-06-29,126.0,6.0,
Italy,2020-06-30,142.0,23.0,
Italy,2020-07-01,182.0,21.0,
Italy,2020-07-02,201.0,30.0,
Italy,2020-07-03,223.0,15.0,
Italy,2020-07-04,235.0,21.0,
Italy,2020-07-05,192.0,7.0,
Italy,2020-07-06,208.0,8.0,
Italy,2020-07-07,137.0,30.0,
Italy,2020-07-08,193.0,15.0,
Italy,2020-07-09,214.0,12.0,
Italy,2020-07-10,276.0,12.0,
Italy,2020-07-11,188.0,7.0,
Italy,2020-07-12,234.0,9.0,
Italy,2020-07-13,169.0,13.0,
Italy,2020-07-14,114.0,17.0,
Italy,2020-07-15,162.0,13.0,
Italy,2020-07-16,230.0,20.0,
Italy,2020-07-17,231.0,11.0,
Italy,2020-07-18,249.0,14.0,
Italy,2020-07-19,218.0,3.0,
Italy,2020-07-20,190.0,13.0,
Italy,2020-07-21,128.0,15.0,
Italy,2020-07-22,280.0,9.0,
Italy,2020-07-23,306.0,10.0,
Italy,2020-07-24,252.0,5.0,
Italy,2020-07-25,274.0,5.0,
Italy,2020-07-26,254.0,5.0,
Italy,2020-07-27,168.0,5.0,
Italy,2020-07-28,202.0,11.0,
Italy,2020-07-29,288.0,6.0,
Italy,2020-07-30,382.0,3.0,
Italy,2020-07-31,379.0,9.0,
Italy,2020-08-01,295.0,5.0,
Italy,2020-08-02,238.0,8.0,
Italy,2020-08-03,159.0,12.0,
Italy,2020-08-04,190.0,5.0,
Italy,2020-08-05,384.0,10.0,
Italy,2020-08-06,401.0,6.0,
Italy,2020-08-07,552.0,3.0,
Italy,2020-08-08,347.0,13.0,
Italy,2020-08-09,463.0,2.0,
Italy,2020-08-10,259.0,4.0,
Italy,2020-08-11,412.0,6.0,
Italy,2020-08-12,476.0,10.0,
Italy,2020-08-13,522.0,6.0,
Italy,2020-08-14,574.0,3.0,
Italy,2020-08-15,629.0,158.0,
Italy,2020-08-16,477.0,4.0,
Italy,2020-08-17,320.0,4.0,
Italy,2020-08-18,401.0,5.0,
Italy,2020-08-19,642.0,7.0,
Italy,2020-08-20,840.0,6.0,
Italy,2020-08-21,947.0,9.0,
Italy,2020-08-22,1071.0,3.0,
Italy,2020-08-23,1209.0,7.0,
Italy,2020-08-24,953.0,4.0,
Italy,2020-08-25,876.0,4.0,
Italy,2020-08-26,1366.0,13.0,
Italy,2020-08-27,1409.0,5.0,
Italy,2020-08-28,1460.0,9.0,
Italy,2020-08-29,1444.0,1.0,
Italy,2020-08-30,1365.0,4.0,
Italy,2020-08-31,996.0,6.0,
Italy,2020-09-01,975.0,8.0,
Italy,2020-09-02,1326.0,6.0,
Italy,2020-09-03,1397.0,10.0,
Italy,2020-09-04,1732.0,11.0,
Italy,2020-09-05,1694.0,16.0,
Italy,2020-09-06,1296.0,7.0,
Italy,2020-09-07,1150.0,12.0,
Italy,2020-09-08,1369.0,10.0,
Italy,2020-09-09,1430.0,14.0,
Italy,2020-09-10,1597.0,10.0,
Italy,2020-09-11,1616.0,10.0,
Italy,2020-09-12,1501.0,6.0,
Italy,2020-09-13,1456.0,7.0,
Italy,2020-09-14,1008.0,14.0,
Italy,2020-09-15,1229.0,9.0,
Italy,2020-09-16,1452.0,12.0,
Italy,2020-09-17,1583.0,13.0,
Italy,2020-09-18,1907.0,10.0,
Italy,2020-09-19,1637.0,24.0,
Italy,2020-09-20,1587.0,15.0,
Italy,2020-09-21,1350.0,17.0,
Italy,2020-09-22,1391.0,14.0,
Italy,2020-09-23,1640.0,20.0,
Italy,2020-09-24,1786.0,23.0,
Italy,2020-09-25,1912.0,20.0,
Italy,2020-09-26,1869.0,17.0,
Italy,2020-09-27,1766.0,17.0,
Italy,2020-09-28,1494.0,16.0,
